"Date","Franchise","Region","Revenue","Bookings","New_Customers","Returning_Customers","Complaints","Complaint_Category","Instructor_Count","Lesson_Capacity","Attendance_Rate","Marketing_Spend","Customer_Satisfaction","Cancellation_Rate"
2024-09-01,"Bristol","South",30356,467,59,433,13,"Instructor Quality",9,589,87.5,5250,4.5,1.8
2024-09-01,"Reading","South",27862,429,50,280,9,"Booking Issue",5,527,89.6,3000,3.9,2.2
2024-09-01,"Southampton","South",20901,322,40,318,14,"Pool Facilities",12,667,82.5,2750,3.7,14.8
2024-09-01,"Newcastle","North",24951,384,30,214,14,"Instructor Quality",11,669,80.5,1500,4.2,8.8
2024-10-01,"Leeds","North",21904,360,36,285,14,"Pool Facilities",5,652,75.8,4500,4,9.6
2024-10-01,"Manchester","North",32746,504,36,429,3,"Instructor Quality",11,520,75.8,3250,4.1,1.8
2024-10-01,"Liverpool","North",26336,405,74,211,6,"Customer Service",9,641,82.8,4750,4.4,14.4
2024-10-01,"Birmingham","Midlands",26455,407,78,366,13,"Pool Facilities",7,463,75.1,4750,4.6,13.3
2024-10-01,"Nottingham","Midlands",24883,383,77,381,13,"Booking Issue",8,484,83.6,4750,4.1,14.5
2024-10-01,"Leicester","Midlands",27980,430,35,351,11,"Booking Issue",9,553,92.4,3750,4.3,2.3
2024-10-01,"Bristol","South",28505,439,62,251,9,"Customer Service",6,519,95.3,2250,4,4.2
2024-10-01,"Reading","South",27716,426,63,183,8,"Booking Issue",12,599,85.3,4250,3.5,8.7
2024-10-01,"Southampton","South",25106,386,46,179,7,"Cancellation",6,528,83.1,4250,4.3,4.9
2024-10-01,"Newcastle","North",22863,352,42,156,6,"Booking Issue",8,556,93.3,5000,4.2,8.4
2024-11-01,"Leeds","North",22813,376,41,285,21,"Cancellation",10,539,93.8,1250,4.4,9.3
2024-11-01,"Manchester","North",31462,484,21,349,1,"Pool Facilities",10,579,88.3,4750,5,13.7
2024-11-01,"Liverpool","North",30005,462,47,217,10,"Customer Service",12,540,86.8,5500,4.2,7.5
2024-11-01,"Birmingham","Midlands",25173,387,63,251,10,"Cancellation",12,664,81.5,1000,4,13.4
2024-11-01,"Nottingham","Midlands",29892,460,25,328,7,"Pool Facilities",12,579,77.4,1750,4.1,13.8
2024-11-01,"Leicester","Midlands",26961,415,28,158,11,"Instructor Quality",10,532,76.7,1250,4.8,14.4
2024-11-01,"Bristol","South",30006,462,62,281,14,"Customer Service",7,518,75.2,5250,3.5,11.6
2024-11-01,"Reading","South",31236,481,65,248,8,"Instructor Quality",12,665,96.3,4250,3.8,6
2024-11-01,"Southampton","South",25578,394,57,327,12,"Instructor Quality",11,490,94.9,2000,4.2,1.9
2024-11-01,"Newcastle","North",23954,369,59,195,4,"Customer Service",5,684,85.2,5500,4.4,4.3
2024-12-01,"Leeds","North",20423,342,32,254,23,"Booking Issue",12,665,92.9,3500,3.8,10.5
2024-12-01,"Manchester","North",29260,450,70,214,2,"Instructor Quality",5,603,93.2,4000,3.8,12.5
2024-12-01,"Liverpool","North",28500,438,64,273,7,"Instructor Quality",4,657,86.4,1000,4.6,2.8
2024-12-01,"Birmingham","Midlands",24889,383,27,241,15,"Booking Issue",4,583,81.4,3250,4.1,13.6
2024-12-01,"Nottingham","Midlands",25596,394,69,312,5,"Booking Issue",12,556,80.9,3250,3.7,4.2
2024-12-01,"Leicester","Midlands",26241,404,76,354,15,"Customer Service",8,489,95.5,3500,4,7.3
2024-12-01,"Bristol","South",28387,437,41,415,8,"Cancellation",5,632,85.3,5750,4.1,5.8
2024-12-01,"Reading","South",30530,470,76,406,6,"Pool Facilities",12,599,89.1,1250,4.6,8.5
2024-12-01,"Southampton","South",29498,454,80,433,14,"Instructor Quality",4,500,83.2,1000,4.6,6.9
2024-12-01,"Newcastle","North",25686,395,59,312,13,"Pool Facilities",7,664,78.9,5750,4.6,9.6
2025-01-01,"Leeds","North",18217,310,41,281,23,"Customer Service",10,491,94.8,2750,3.9,14.7
2025-01-01,"Manchester","North",29342,451,56,223,2,"Pool Facilities",8,661,91.9,6000,5,9.8
2025-01-01,"Liverpool","North",25126,387,67,245,7,"Instructor Quality",5,521,93.2,5750,4.3,11.8
2025-01-01,"Birmingham","Midlands",24563,378,35,312,11,"Booking Issue",7,630,93.8,4500,3.5,12.2
2025-01-01,"Nottingham","Midlands",27733,427,36,282,6,"Instructor Quality",8,610,76.1,4000,4.3,5.3
2025-01-01,"Leicester","Midlands",21502,331,66,227,12,"Instructor Quality",11,541,92.7,5500,4.4,8.8
2025-01-01,"Bristol","South",29006,446,79,324,5,"Cancellation",4,593,86.1,5250,3.9,11
2025-01-01,"Reading","South",28259,435,64,272,5,"Booking Issue",11,506,76.6,3750,4.5,9.7
2025-01-01,"Southampton","South",22703,349,80,231,5,"Pool Facilities",4,547,96.9,1500,4.1,5.3
2025-01-01,"Newcastle","North",26580,409,78,162,12,"Instructor Quality",5,684,78.8,5750,5,13.1
2025-02-01,"Leeds","North",21560,364,44,265,25,"Cancellation",7,660,76.5,5750,3.6,12.7
2025-02-01,"Manchester","North",31507,485,43,305,3,"Cancellation",5,573,81.2,1000,4.2,4
2025-02-01,"Liverpool","North",30075,463,21,342,6,"Cancellation",10,516,96.1,4500,5,3
2025-02-01,"Birmingham","Midlands",23123,356,29,445,9,"Customer Service",12,664,77.7,5500,4.2,13.6
2025-02-01,"Nottingham","Midlands",24886,383,46,257,9,"Instructor Quality",4,587,85.8,6000,4.9,5.9
2025-02-01,"Leicester","Midlands",28021,431,32,218,5,"Cancellation",11,607,95.3,4250,4.3,3.4
2025-02-01,"Bristol","South",24692,380,45,151,6,"Pool Facilities",5,624,93.2,4250,4.3,3.8
2025-02-01,"Reading","South",31817,489,25,280,11,"Booking Issue",7,692,86.9,3250,4.3,4.5
2025-02-01,"Southampton","South",27442,422,66,400,8,"Pool Facilities",10,656,86.1,2500,4.2,7
2025-02-01,"Newcastle","North",26606,409,25,433,4,"Customer Service",5,638,97.3,1500,4.2,11.7
2025-03-01,"Leeds","North",18473,319,74,420,26,"Booking Issue",7,496,75.2,1250,4.5,2.1
2025-03-01,"Manchester","North",32536,501,30,201,2,"Booking Issue",7,593,93.5,2500,4,5.9
2025-03-01,"Liverpool","North",25296,389,32,232,9,"Customer Service",9,658,88.5,3500,4.9,8.6
2025-03-01,"Birmingham","Midlands",26039,401,34,151,5,"Customer Service",5,627,81,6000,3.7,7.2
2025-03-01,"Nottingham","Midlands",29304,451,31,186,14,"Instructor Quality",7,660,82.5,4750,3.6,1.6
2025-03-01,"Leicester","Midlands",26183,403,74,239,14,"Instructor Quality",6,664,96.8,3750,4.2,1.3
2025-03-01,"Bristol","South",30951,476,57,369,5,"Instructor Quality",11,574,81.4,4250,4.5,1.8
2025-03-01,"Reading","South",27392,421,74,245,6,"Customer Service",6,647,90.9,3000,3.5,7.4
2025-03-01,"Southampton","South",27871,429,21,343,9,"Booking Issue",9,511,95,1000,4.6,7.2
2025-03-01,"Newcastle","North",28800,443,24,413,5,"Cancellation",7,606,87,4250,3.9,3.6
2025-04-01,"Leeds","North",19926,343,28,368,19,"Pool Facilities",4,556,88.6,5250,4.8,8.4
2025-04-01,"Manchester","North",36993,569,52,300,3,"Customer Service",11,494,84.8,1500,4.8,3
2025-04-01,"Liverpool","North",27823,428,64,188,13,"Cancellation",10,598,93.9,5250,4.4,10.2
2025-04-01,"Birmingham","Midlands",28471,438,61,323,14,"Customer Service",4,640,85.1,6000,4.7,6.6
2025-04-01,"Nottingham","Midlands",24741,381,34,332,13,"Instructor Quality",7,607,79.8,5500,4.5,14.5
2025-04-01,"Leicester","Midlands",24613,379,46,354,11,"Booking Issue",4,482,82.5,5250,4.9,4
2025-04-01,"Bristol","South",28019,431,55,190,13,"Instructor Quality",8,635,88.6,2250,3.9,11.2
2025-04-01,"Reading","South",33180,510,45,411,7,"Instructor Quality",7,666,86.2,3250,3.6,2.4
2025-04-01,"Southampton","South",29644,456,65,170,5,"Booking Issue",10,457,82.3,2500,3.9,10.1
2025-04-01,"Newcastle","North",24328,374,48,400,7,"Pool Facilities",12,520,87,3500,4.7,6.2
2025-05-01,"Leeds","North",20610,356,66,311,30,"Customer Service",12,655,95,5500,4.7,3.3
2025-05-01,"Manchester","North",37497,577,26,420,6,"Cancellation",4,501,78.8,4750,4.6,7
2025-05-01,"Liverpool","North",24954,384,72,178,13,"Booking Issue",5,568,93.6,5000,3.7,9.1
2025-05-01,"Birmingham","Midlands",24710,380,43,424,15,"Instructor Quality",12,696,97,1750,4.1,6.2
2025-05-01,"Nottingham","Midlands",23628,364,53,303,11,"Booking Issue",5,507,92.3,6000,3.8,12.4
2025-05-01,"Leicester","Midlands",23917,368,37,220,14,"Cancellation",7,651,79.1,5250,4.1,5.5
2025-05-01,"Bristol","South",30881,475,34,150,14,"Customer Service",10,500,79.3,1500,4.2,4.7
2025-05-01,"Reading","South",29533,454,48,253,9,"Booking Issue",10,601,89.2,3250,3.8,1.2
2025-05-01,"Southampton","South",26928,414,55,378,8,"Instructor Quality",8,454,82.7,2750,4.2,1.2
2025-05-01,"Newcastle","North",24699,380,60,200,15,"Pool Facilities",5,472,90.8,1750,4.9,11.6
2025-06-01,"Leeds","North",18713,329,79,304,16,"Cancellation",7,587,85.3,4250,4.4,7
2025-06-01,"Manchester","North",30809,474,34,316,6,"Instructor Quality",9,700,88.9,3250,4.3,11.8
2025-06-01,"Liverpool","North",26015,400,57,154,14,"Instructor Quality",8,607,81.5,1500,3.9,8.1
2025-06-01,"Birmingham","Midlands",22727,350,59,438,15,"Pool Facilities",10,515,82.3,4500,4.9,8.4
2025-06-01,"Nottingham","Midlands",26159,402,33,333,10,"Instructor Quality",8,668,80.6,2500,3.9,10.4
2025-06-01,"Leicester","Midlands",21843,336,66,194,10,"Cancellation",7,497,78.4,5000,4,9.2
2025-06-01,"Bristol","South",33755,519,68,416,5,"Cancellation",5,458,93.6,1250,4.1,5.6
2025-06-01,"Reading","South",29790,458,58,356,14,"Instructor Quality",7,500,86,3250,5,2.3
2025-06-01,"Southampton","South",26112,402,73,250,4,"Booking Issue",11,630,78.7,4750,3.8,4.3
2025-06-01,"Newcastle","North",28965,446,60,217,14,"Booking Issue",7,552,93.1,6000,4.4,2.2
2025-07-01,"Leeds","North",18020,321,54,162,17,"Cancellation",11,624,75.9,3250,4.5,2.4
2025-07-01,"Manchester","North",32298,497,45,370,1,"Booking Issue",11,562,94,5000,3.9,13.7
2025-07-01,"Liverpool","North",26755,412,38,175,8,"Instructor Quality",9,494,86.7,1750,5,14
2025-07-01,"Birmingham","Midlands",27834,428,47,236,10,"Customer Service",9,485,93.1,6000,4.6,2
2025-07-01,"Nottingham","Midlands",25110,386,21,180,13,"Instructor Quality",6,546,84.3,2250,4.4,6.7
2025-07-01,"Leicester","Midlands",22904,352,63,195,9,"Pool Facilities",7,520,77.6,6000,4.9,1.7
2025-07-01,"Bristol","South",28829,444,46,163,9,"Instructor Quality",8,477,88.7,2750,3.6,12.9
2025-07-01,"Reading","South",27047,416,40,169,9,"Booking Issue",4,603,94.6,2500,4.7,4.1
2025-07-01,"Southampton","South",28316,436,73,393,15,"Booking Issue",4,680,89.4,4000,4.2,7.8
2025-07-01,"Newcastle","North",25800,397,56,257,13,"Instructor Quality",5,456,90.9,5250,3.9,10.2
2025-08-01,"Leeds","North",18576,332,43,174,21,"Customer Service",9,563,84.4,1500,4.6,2.5
2025-08-01,"Manchester","North",36189,557,56,235,3,"Customer Service",6,673,93,1000,4.3,12.6
2025-08-01,"Liverpool","North",25796,397,50,433,4,"Booking Issue",11,523,81.8,1000,4.1,4.2
2025-08-01,"Birmingham","Midlands",25410,391,59,314,15,"Instructor Quality",6,609,78,5250,4.2,11
2025-08-01,"Nottingham","Midlands",26052,401,35,414,9,"Cancellation",8,560,91.2,5500,3.6,4.7
2025-08-01,"Leicester","Midlands",22772,350,72,226,7,"Pool Facilities",12,697,85.8,3000,3.6,4.5
2025-08-01,"Bristol","South",31672,487,27,157,5,"Instructor Quality",12,642,81.3,3750,3.8,1.1
2025-08-01,"Reading","South",28489,438,76,295,9,"Pool Facilities",8,579,81.2,5000,4.3,3
2025-08-01,"Southampton","South",27115,417,29,332,13,"Instructor Quality",4,595,79.2,1250,4.9,13.4
2025-08-01,"Newcastle","North",24445,376,67,448,8,"Cancellation",10,468,95.2,5750,4.1,11
2025-09-01,"Leeds","North",18224,329,77,330,33,"Booking Issue",4,610,83.4,1250,4.2,12.6
2025-09-01,"Manchester","North",30565,470,42,353,5,"Cancellation",9,488,76.9,1750,4.6,14.4
2025-09-01,"Liverpool","North",25896,398,30,219,4,"Booking Issue",10,486,95,4000,3.8,1.2
2025-09-01,"Birmingham","Midlands",23814,366,21,341,8,"Cancellation",10,530,86.4,3000,4.7,4.4
2025-09-01,"Nottingham","Midlands",23922,368,34,330,11,"Instructor Quality",9,512,77.6,1500,4.5,14
2025-09-01,"Leicester","Midlands",23271,358,28,275,12,"Pool Facilities",8,679,93.7,5500,4.8,1.2
2025-09-01,"Bristol","South",28818,443,76,413,7,"Instructor Quality",10,499,93.5,5750,4.8,7.1
2025-09-01,"Reading","South",29208,449,78,248,8,"Instructor Quality",6,469,84.4,5000,3.6,12.8
2025-09-01,"Southampton","South",25675,395,56,296,14,"Instructor Quality",11,543,87.4,4000,4.9,4.9
2025-09-01,"Newcastle","North",27214,419,79,333,13,"Customer Service",7,663,78.2,4250,4.9,13
2025-10-01,"Leeds","North",18016,328,57,330,36,"Customer Service",10,472,86,2250,3.8,14.4
2025-10-01,"Manchester","North",32149,495,30,425,5,"Instructor Quality",9,483,76.6,1250,4.2,6.3
2025-10-01,"Liverpool","North",25640,394,63,367,7,"Customer Service",9,636,91.4,5000,4,4.9
2025-10-01,"Birmingham","Midlands",28250,435,65,365,11,"Instructor Quality",11,688,87.1,6000,4,12.8
2025-10-01,"Nottingham","Midlands",23367,359,80,422,9,"Customer Service",4,595,78.1,2750,4.4,6.1
2025-10-01,"Leicester","Midlands",27496,423,80,266,7,"Pool Facilities",10,472,94.9,1500,3.9,4.1
2025-10-01,"Bristol","South",24924,383,41,348,14,"Instructor Quality",12,491,88.9,5250,4.2,2.7
2025-10-01,"Reading","South",28542,439,72,288,7,"Instructor Quality",7,590,93.4,3000,3.9,6.8
2025-10-01,"Southampton","South",29558,455,63,369,15,"Instructor Quality",6,658,79.5,4750,4.4,5.2
2025-10-01,"Newcastle","North",21602,332,61,416,5,"Cancellation",10,544,81.1,4000,4.3,3.9
2025-11-01,"Leeds","North",18450,337,61,267,33,"Instructor Quality",4,608,78.1,6000,3.9,6.6
2025-11-01,"Manchester","North",36888,568,67,222,7,"Customer Service",5,503,97.1,1250,4.2,1.7
2025-11-01,"Liverpool","North",24214,373,30,369,12,"Pool Facilities",7,547,83.3,6000,4.4,5.4
2025-11-01,"Birmingham","Midlands",25572,393,37,373,5,"Customer Service",7,668,95.4,1000,4.1,14.9
2025-11-01,"Nottingham","Midlands",27008,416,29,245,15,"Cancellation",10,581,97.6,5250,4.8,8.7
2025-11-01,"Leicester","Midlands",28883,444,54,265,13,"Booking Issue",8,535,76.5,5250,3.7,8.3
2025-11-01,"Bristol","South",30737,473,62,340,7,"Instructor Quality",11,594,97,1000,4.8,8.1
2025-11-01,"Reading","South",27788,428,23,218,11,"Instructor Quality",4,653,95.1,2250,3.7,8.9
2025-11-01,"Southampton","South",26686,411,23,237,10,"Customer Service",7,609,77.4,4000,4.5,14.8
2025-11-01,"Newcastle","North",24273,373,20,159,8,"Pool Facilities",5,491,95.6,1750,3.9,4.9
2025-12-01,"Leeds","North",16871,315,31,431,20,"Customer Service",6,599,86,3500,4.2,6.2
2025-12-01,"Manchester","North",28707,442,44,305,4,"Booking Issue",9,654,77.1,2000,4.3,5.1
2025-12-01,"Liverpool","North",31143,479,48,400,5,"Booking Issue",4,651,97.9,4750,3.5,13.6
2025-12-01,"Birmingham","Midlands",25545,393,30,418,10,"Booking Issue",4,662,83.3,1000,4.5,2.5
2025-12-01,"Nottingham","Midlands",29720,457,78,387,4,"Instructor Quality",5,639,97.5,4250,3.8,8.3
2025-12-01,"Leicester","Midlands",26807,412,64,320,11,"Pool Facilities",4,623,91.8,5000,3.7,5.6
2025-12-01,"Bristol","South",27199,418,73,212,5,"Booking Issue",12,667,79.1,2750,4.8,14.7
2025-12-01,"Reading","South",30486,469,29,353,11,"Instructor Quality",8,496,87.4,1500,4.6,9.2
2025-12-01,"Southampton","South",24539,378,54,375,6,"Customer Service",11,597,82.6,2500,4.9,7.5
2025-12-01,"Newcastle","North",26746,411,29,234,12,"Cancellation",5,625,83.1,2500,4.1,12.7
